53.25	23.25	2.516684247
53.25	23.75	0.042370135
53.25	24.25	-3.079444189
53.25	24.75	-4.440621686
53.25	25.25	-2.728744709
53.25	25.75	-6.141619933
53.25	26.25	-13.7468062
53.25	26.75	-16.44092358
53.25	27.25	3.83928288
53.25	27.75	-7.031487742
53.25	28.25	-42.68084729
53.25	28.75	-17.17342622
53.25	29.25	0.077243142
53.25	29.75	-4.170540801
53.75	23.25	0.255881725
53.75	23.75	-3.761083523
53.75	24.25	6.178996379
53.75	24.75	1.740311128
53.75	25.25	1.332931388
53.75	25.75	9.094318166
53.75	26.25	-7.838600762
53.75	26.75	39.98200803
53.75	27.25	-16.11673543
53.75	27.75	23.95222706
53.75	28.25	-2.973005758
53.75	28.75	63.20463301
53.75	29.25	-46.3378493
53.75	29.75	34.59828319
54.25	23.25	8.558176848
54.25	23.75	-5.999032816
54.25	24.25	4.1362561
54.25	24.75	2.072065956
54.25	25.25	-0.729200488
54.25	25.75	10.64336811
54.25	26.25	12.74629702
54.25	26.75	-4.150947948
54.25	27.25	-21.47948554
54.25	27.75	14.89945099
54.25	28.25	19.67288944
54.25	28.75	13.69748301
54.25	29.25	-37.2743947
54.25	29.75	67.4148936
54.75	23.25	4.214155587
54.75	23.75	-4.588066508
54.75	24.25	-2.559702024
54.75	24.75	-0.149368559
54.75	25.25	-5.210913509
54.75	25.75	-3.457007201
54.75	26.25	-7.727109978
54.75	26.75	8.69599047
54.75	27.25	-19.2832669
54.75	27.75	40.82091772
54.75	28.25	-44.42665529
54.75	28.75	7.50259758
54.75	29.25	-8.383746176
54.75	29.75	-29.58712259
55.25	23.25	-11.03817178
55.25	23.75	-2.657083192
55.25	24.25	-6.510983701
55.25	24.75	-6.694048356
55.25	25.25	-8.22217103
55.25	25.75	-9.297274269
55.25	26.25	-0.454175073
55.25	26.75	-39.96641896
55.25	27.25	-56.90519976
55.25	27.75	-28.09387414
55.25	28.25	-2.716544767
55.25	28.75	-34.28287023
55.25	29.25	20.12545095
55.25	29.75	-1.705771544
55.75	23.25	1.883934821
55.75	23.75	9.249793612
55.75	24.25	5.53928821
55.75	24.75	-0.531917939
55.75	25.25	-2.849465746
55.75	25.75	11.77894299
55.75	26.25	28.61117949
55.75	26.75	21.33067012
55.75	27.25	11.68285655
55.75	27.75	75.01557428
55.75	28.25	37.16046425
55.75	28.75	0.119568641
55.75	29.25	-33.31686083
55.75	29.75	19.68644466
56.25	23.25	12.34539761
56.25	23.75	-10.6760271
56.25	24.25	43.29771199
56.25	24.75	22.5257493
56.25	25.25	8.44774466
56.25	25.75	31.60678695
56.25	26.25	-0.21229243
56.25	26.75	-13.06636735
56.25	27.25	-42.54700271
56.25	27.75	10.4988817
56.25	28.25	8.740412925
56.25	28.75	-3.554727699
56.25	29.25	-38.36516752
56.25	29.75	71.80507627
56.75	23.25	32.03958882
56.75	23.75	-42.5309404
56.75	24.25	-28.61835795
56.75	24.75	-27.7414104
56.75	25.25	-31.27961786
56.75	25.75	-6.024119523
56.75	26.25	-12.04555988
56.75	26.75	17.57169301
56.75	27.25	-15.90286631
