53.25 29.75	-148.57848034749642
53.75 29.75	-211.92885643357059
54.25 29.75	-244.24935812194170
54.75 29.75	-139.41883673147521
55.25 29.75	-130.65028808883085
55.75 29.75	-151.28785431493441
56.25 29.75	-239.28202966931642
56.75 29.75	-150.72172926353858
57.25 29.75	-129.89368330064195
57.75 29.75	-294.36796980045926
58.25 29.75	-66.002501650845872
58.75 29.75	-66.169090124425850
59.25 29.75	-52.711169082409249
59.75 29.75	-70.466415842600682
60.25 29.75	-107.13967882870213
60.75 29.75	-88.126499592728351
61.25 29.75	-44.196211815302163
61.75 29.75	-65.539976292606383
62.25 29.75	-69.242296013595293
62.75 29.75	-66.149670963065759
63.25 29.75	-63.974782873074091
63.75 29.75	-98.829864037707779
64.25 29.75	-108.88327966185102
64.75 29.75	-96.022112553560845
65.25 29.75	-108.53774911269787
65.75 29.75	-130.70066458630924
53.25 29.25	-168.45726479707182
53.75 29.25	-151.10221293272170
54.25 29.25	-161.59917910769042
54.75 29.25	-183.22254699746054
55.25 29.25	-174.49890945143216
55.75 29.25	-117.38324903831321
56.25 29.25	-141.81266176013540
56.75 29.25	-199.52403395923511
57.25 29.25	-166.36453478600964
57.75 29.25	-122.04497198314749
58.25 29.25	-100.68495824654507
58.75 29.25	-58.566520398818845
59.25 29.25	-67.117809496902979
59.75 29.25	-59.508366368311229
60.25 29.25	-185.37841863780031
60.75 29.25	-115.96067724284551
61.25 29.25	-117.34253381405502
61.75 29.25	-49.456512639724501
62.25 29.25	-61.089938960553674
62.75 29.25	-70.234528720463842
63.25 29.25	-79.086882817794404
63.75 29.25	-116.00167304931080
64.25 29.25	-123.99521915259116
64.75 29.25	-142.90711284085899
65.25 29.25	-96.538061405380674
65.75 29.25	-121.37968159780331
53.25 28.75	-121.25088059539598
53.75 28.75	-227.91356793172415
54.25 28.75	-188.60193004833118
54.75 28.75	-182.62927935135292
55.25 28.75	-134.94994878519142
55.75 28.75	-158.19827436555201
56.25 28.75	-103.72193345972697
56.75 28.75	-90.886006389446692
57.25 28.75	-32.142345138627739
57.75 28.75	-131.24394751053063
58.25 28.75	-176.71296776212043
58.75 28.75	-59.408371822807361
59.25 28.75	-61.493174364927185
59.75 28.75	-90.062436721286872
60.25 28.75	-84.156679019963761
60.75 28.75	-97.249925477680264
61.25 28.75	-136.11159720112863
61.75 28.75	-57.540194813096292
62.25 28.75	-74.388285771174623
62.75 28.75	-78.256174693447733
63.25 28.75	-69.174371776731064
63.75 28.75	-66.502280368959532
64.25 28.75	-68.296366143160441
64.75 28.75	-66.435555361680699
65.25 28.75	-82.737801876684827
65.75 28.75	-129.78725966181716
53.25 28.25	-80.557034068783381
53.75 28.25	-142.13614674579333
54.25 28.25	-173.74434488384787
54.75 28.25	-113.00390947129513
55.25 28.25	-156.67411252805019
55.75 28.25	-187.35581307400807
56.25 28.25	-104.92304918469485
56.75 28.25	-82.735826542445935
57.25 28.25	-167.38879421523018
57.75 28.25	-67.998578270032993
58.25 28.25	-58.477321815744297
58.75 28.25	-166.75282657342146
59.25 28.25	-48.543454884749366
59.75 28.25	-60.316589418844728
60.25 28.25	-55.874648312027972
60.75 28.25	-89.509983054227817
61.25 28.25	-146.23241115133669
61.75 28.25	-88.803489918745541
62.25 28.25	-58.461189518948274
62.75 28.25	-74.905860844165929
63.25 28.25	-82.878531435154372
63.75 28.25	-77.494692639459117
64.25 28.25	-86.596126349314147
64.75 28.25	-114.19058523208938
65.25 28.25	-69.279265576895213
65.75 28.25	-67.468159099145879
53.25 27.75	-71.498919283988869
53.75 27.75	-114.51073230905567
54.25 27.75	-93.853869417008141
54.75 27.75	-124.92405136390511
55.25 27.75	-88.353749957108690
55.75 27.75	-195.45708154037305
56.25 27.75	-128.82674650154442
56.75 27.75	-144.09108924773506
57.25 27.75	-104.02779240545065
57.75 27.75	-169.24784429403940
58.25 27.75	-40.952620552748733
58.75 27.75	-45.921678287995285
59.25 27.75	-81.783180439162692
59.75 27.75	-85.678653014413129
60.25 27.75	-159.61352794620743
60.75 27.75	-133.19314001460413
61.25 27.75	-111.49490064765882
61.75 27.75	-111.94067943947640
62.25 27.75	-129.50231477935910
62.75 27.75	-89.996844419311188
63.25 27.75	-92.273957120686930
63.75 27.75	-96.301775643528273
64.25 27.75	-78.166342991962608
64.75 27.75	-74.207472359536325
65.25 27.75	-74.032927892023238
65.75 27.75	-100.06546589617756
53.25 27.25	-71.466396165458264
53.75 27.25	-59.352005799298539
54.25 27.25	-38.467762984151392
54.75 27.25	-45.216638362609565
55.25 27.25	-42.390600187835325
55.75 27.25	-119.48979014544742
56.25 27.25	-71.251372727834607
56.75 27.25	-100.19756509962529
57.25 27.25	-146.22081949920863
57.75 27.25	-71.904736232813534
58.25 27.25	-15.439075740088384
